University,SAT_Min,SAT_Max,SAT_Avg,ACT_Min,ACT_Max,ACT_Avg,Tuition_USD,Institution_Type,Deadline,Average_GPA,TOEFL_Min,IELTS_Min,Scholarship_Mentioned,Scholarship_Amount_Examples,Scholarship_Percentages,URL
Los Angeles Mission College,1009,1266,1154,24,27,24.5,1238,Private College,Rolling,3.5,78,6.0,0.0,5455-12345,27.0,http://lamission.edu/
Laney  College,1004,1291,1164,20,27,22.5,1148,Private College,June 1,3.59,76,6.5,1.0,5258-14234,25.0,http://laney.edu/
Los Angeles Southwest College,1173,1294,1238,23,32,29.5,1238,Private College,June 1,3.53,84,6.5,1.0,6526-11356,33.0,http://lasc.edu/
La Sierra University,1109,1262,1198,21,26,24.5,35910,Public University,June 1,2.84,72,6.5,1.0,2380-6454,15.0,http://lasierra.edu/
Las Positas College,1132,1246,1209,22,30,27.0,1168,Private College,January 15,3.11,83,6.5,1.0,8318-12362,32.0,http://laspositascollege.edu/
Los Angeles Trade-Tech Community College,944,1101,1014,17,22,18.5,5400,Public Community College,January 15,2.63,72,6.0,0.0,1798-2492,16.0,http://lattc.edu/
Laurus College,1053,1294,1188,22,30,27.0,10000,Private College,January 15,3.12,61,6.5,1.0,5621-9896,30.0,http://lauruscollege.edu/
Los Angeles Valley College,1066,1342,1190,20,32,25.0,1238,Private College,June 1,3.53,84,6.5,1.0,7465-11560,33.0,http://lavc.edu/
University of La Verne,970,1303,1116,17,29,25.0,47000,Public University,July 1,3.14,75,7.0,1.0,2578-5846,20.0,http://laverne.edu/
UCLA School of Law,1098,1158,1109,21,29,26.0,15700,Public University,July 1,3.18,75,7.0,1.0,4545-11017,20.0,http://ucla.edu/
Long Beach City College,1141,1276,1204,21,31,26.0,1556,Private College,2025-11-27,3.53,76,6.5,1.0,8540-17912,25.0,http://lbcc.edu/
Life Chiropractic College West,1098,1255,1166,21,30,25.5,10000,Private College,January 15,3.13,87,6.5,1.0,8460-19560,36.0,http://lifewest.edu/
Loma Linda University,1072,1333,1194,17,28,24.5,15880,Public University,Rolling,3.5,80,6.0,1.0,3966-6062,19.0,http://llu.edu/
Loyola Marymount University,1137,1235,1201,23,32,29.5,58974,Private,February 1,3.58,82,7.0,1.0,6308-17466,31.0,http://lmu.edu/
Los Medanos College,1120,1363,1224,22,27,25.5,1312,Private College,January 15,3.51,79,6.5,1.0,5850-14721,28.0,http://losmedanos.edu/
Los Rios Community College District,865,999,942,17,21,18.0,5510,Public Community College,Rolling,2.5,71,5.5,1.0,1481-3085,14.0,http://losrios.edu/
Lake Tahoe Community College,901,1118,1000,16,24,18.0,1131,Public Community College,March 1,2.68,68,5.5,1.0,1585-2839,13.0,http://ltcc.edu/
College of Marin,1127,1299,1225,22,31,27.5,1558,Private College,2025-12-12,3.29,75,6.0,1.0,5399-10585,40.0,http://marin.edu/
Marymount California University,1096,1356,1206,19,26,21.5,15980,Public University,Rolling,2.8,72,6.0,1.0,4254-10817,18.0,http://marymountcalifornia.edu/
The Master’s College,1167,1419,1277,21,32,26.5,20000,Private College,March 1,3.2,75,6.0,1.0,5451-13550,40.0,http://masters.edu/
Merced Community College,793,896,854,15,21,20.0,1194,Public Community College,Rolling,2.53,65,5.5,0.0,1135-2380,11.0,http://mccd.edu/
Mills College,1100,1276,1183,20,26,22.0,27840,Private College,June 1,3.49,88,6.5,1.0,5973-13359,37.0,http://mills.edu/
MiraCosta College,1082,1327,1194,23,29,28.0,1152,Private College,January 15,3.53,85,6.5,1.0,8011-17227,34.0,http://miracosta.edu/
Modesto Junior College,1120,1228,1183,20,31,24.5,1270,Private College,January 15,3.13,81,6.5,1.0,8092-12130,30.0,http://mjc.edu/
Mount San Jacinto College,1135,1415,1256,23,31,29.0,27090,Private College,July 1,3.44,77,7.0,1.0,8178-15730,26.0,http://msjc.edu/
Mount San Antonio College,1109,1250,1162,23,28,27.5,22950,Private College,2025-08-08,3.37,88,7.0,1.0,8331-12814,37.0,http://mtsac.edu/
Napa Valley College,1075,1391,1231,23,30,28.5,1156,Private College,February 1,3.52,88,7.0,1.0,6082-11414,37.0,http://napavalley.edu/
Notre Dame de Namur University,1027,1190,1108,17,23,22.0,14200,Public,March 1,3.46,85,6.0,1.0,4634-6829,17.0,http://ndnu.edu/
NewSchool of Architecture and Design,1011,1203,1125,21,26,24.5,30291,Public University,February 1,2.88,72,7.0,1.0,5797-9014,24.0,http://newschoolarch.edu/
Norco College,1036,1353,1190,23,32,29.5,1420,Private College,2025-12-07,3.24,75,6.0,1.0,8929-16839,40.0,http://norcocollege.edu/
Naval Postgraduate School,990,1152,1088,19,23,20.0,10570,Public University,July 1,3.12,80,7.0,1.0,3213-6859,18.0,http://nps.edu/
Ohlone College,1020,1318,1153,22,31,27.5,1202,Private College,January 15,3.34,85,6.5,0.0,8575-15343,34.0,http://ohlone.edu/
Orange Coast College,1035,1412,1204,22,32,28.0,1208,Private College,February 1,3.53,80,7.0,0.0,6948-17329,29.0,http://orangecoastcollege.edu/
Otis College of Art and Design,1158,1384,1288,23,28,27.5,55513,Private College,2025-02-15,3.44,88,6.5,1.0,8932-16138,37.0,http://otis.edu/
Occidental College,1360,1500,1461,21,30,25.5,63446,Private College,2025-11-15,3.6,86,7.0,1.0,5263-9944,35.0,http://oxy.edu/
University of the Pacific,1160,1420,1303,23,28,27.5,55340,Private,2025-07-01,3.65,82,7.0,1.0,6508-17942,31.0,http://pacific.edu/
University of the Pacific,1160,1420,1303,23,28,27.5,55340,Private,2025-07-01,3.65,82,7.0,1.0,6508-17942,31.0,http://uop.edu/
Pacific College of Oriental Medicine,1096,1405,1262,22,26,25.0,27040,Private College,January 15,3.43,61,6.5,1.0,6467-11984,34.0,http://pacificcollege.edu/
Palomar College,1154,1412,1284,23,27,26.5,1354,Private College,2025-12-20,3.15,90,5.0,1.0,7446-16744,39.0,http://palomar.edu/
Pasadena City College,1178,1257,1224,24,31,25.5,1180,Private College,March 1,3.27,83,6.0,1.0,8980-16203,32.0,http://pasadena.edu/
Pepperdine University,1250,1450,1367,18,27,20.5,66742,Public University,January 15,3.31,463,6.5,1.0,2361-7926,15.0,http://pepperdine.edu/
Peralta Community College District,845,1067,974,18,19,18.5,1257,Public Community College,June 1,2.57,63,6.0,1.0,1408-2260,11.0,http://peralta.edu/
Pierce College,1147,1233,1174,24,29,24.5,1238,Private College,Rolling,3.18,84,6.0,1.0,8043-14123,33.0,http://piercecollege.edu/
Pitzer College,1157,1356,1244,21,30,25.5,62692,Private College,2025-12-08,3.12,106,6.0,1.0,5043-10193,35.0,http://pitzer.edu/
Pacific Lutheran  Theological Seminary,931,1280,1126,17,22,21.5,15360,Public University,2025-02-15,2.84,76,6.0,1.0,2114-4681,21.0,http://plts.edu/
Point Loma Nazarene University,1140,1410,1278,19,24,20.5,43550,Public University,June 1,3.4,70,6.5,1.0,5685-11418,16.0,http://pointloma.edu/
Pomona College,1088,1237,1154,21,30,25.5,547000,Private College,January 15,3.37,87,6.5,1.0,5512-10438,36.0,http://pomona.edu/
Porterville College,1174,1266,1223,22,27,25.5,1409,Private College,Rolling,3.5,84,6.0,1.0,7694-14752,33.0,http://portervillecollege.edu/
Pacific School of Religion,1022,1333,1196,17,28,24.5,15900,Public University,2025-12-10,3.38,82,6.5,1.0,4735-11404,23.0,http://psr.edu/
Riverside City College,1028,1296,1170,21,28,24.5,1420,Private College,Rolling,3.52,84,6.0,1.0,7609-15480,33.0,http://rcc.edu/
Riverside Community College District,872,1127,1020,15,19,18.5,10000,Public Community College,June 1,2.69,69,6.0,1.0,1679-2894,16.0,http://rccd.edu/
University of Redlands,1078,1323,1231,21,29,26.0,57614,Public University,March 1,2.9,83,6.0,1.0,2868-6056,15.0,http://redlands.edu/
College of the Redwoods,1153,1291,1227,24,32,26.0,1147,Private College,June 1,3.11,88,6.5,1.0,7002-17397,37.0,http://redwoods.edu/
Rio Hondo College,1001,1247,1126,21,32,26.5,1388,Private College,February 1,3.47,80,7.0,1.0,5469-13792,29.0,http://riohondo.edu/
Rosemead College,1038,1251,1142,22,28,26.0,25000,Private College,March 1,3.69,89,6.0,0.0,8925-18245,38.0,http://rosemeadcollege.edu/
Santa Ana College,1042,1382,1194,23,30,28.5,25940,Private College,2025-12-07,3.15,83,7.0,1.0,7274-15420,32.0,http://sac.edu/
Saddleback College,1132,1400,1282,22,31,27.5,1432,Private College,2025-12-09,3.41,90,7.0,1.0,7795-18728,39.0,http://saddleback.edu/
University of San Diego,995,1176,1106,19,24,20.5,15265,Public University,June 1,3.22,78,6.5,1.0,5742-12645,25.0,http://sandiego.edu/
Santa Rosa Junior College,1132,1250,1200,22,32,28.0,1318,Private College,July 1,3.12,89,7.0,1.0,6558-13117,38.0,http://santarosa.edu/
Santa Barbara City College,1168,1288,1222,24,28,24.5,1234,Private College,June 1,3.3,90,6.5,1.0,8204-19295,39.0,http://sbcc.edu/
School of Continuing Education,1047,1334,1192,17,29,25.0,9895,Public University,July 1,3.15,83,7.0,1.0,4885-7202,18.0,http://sce.edu/
Scripps College,1420,1530,1480,22,27,25.5,63434,Private College,June 1,3.42,90,6.5,1.0,5487-12027,39.0,http://scrippscollege.edu/
Santa Clara University,1340,1500,1417,17,28,24.5,59241,Public University,February 1,3.19,82,7.0,1.0,4463-11049,16.0,http://scu.edu/
Southern California University of Health Sciences,946,1296,1131,19,25,21.0,10769,Public,2025-12-06,2.99,79,6.5,1.0,3003-6077,16.0,http://scuhs.edu/
San Diego City College,1147,1340,1228,24,30,25.0,1150,Private College,February 1,3.28,90,7.0,1.0,8290-16982,39.0,http://sdcity.edu/
San Diego Mesa College,1136,1346,1260,22,30,27.0,1150,Private College,February 1,3.37,84,7.0,1.0,8228-14820,33.0,http://sdmesa.edu/
San Diego State University,1034,1279,1160,17,23,22.0,8290,Public University,January 15,2.87,77,6.5,1.0,3833-7841,15.0,http://sdsu.edu/
San Francisco State University,1103,1337,1206,19,28,22.5,7424,Public University,2025-10-01,3.21,82,6.5,1.0,5430-10311,24.0,http://sfsu.edu/
Shasta College,1059,1271,1169,21,32,26.5,14535,Private College,July 1,3.25,89,7.0,0.0,8799-13762,38.0,http://shastacollege.edu/
The Institute of Buddhist Studies,979,1347,1167,21,23,22.5,15140,Public University,2025-03-01,3.31,77,6.0,1.0,5377-9909,21.0,http://shin-ibs.edu/
Sierra College,1129,1364,1246,23,28,27.5,1156,Private College,2025-06-01,3.7,75,7.0,1.0,8201-14448,40.0,http://sierracollege.edu/
Simpson University,976,1328,1134,21,28,25.5,38522,Public University,Rolling,3.48,74,6.0,1.0,4656-6677,15.0,http://simpsonu.edu/
College of the Siskiyous,1000,1416,1209,21,32,26.5,1444,Private College,Rolling,3.34,76,6.0,1.0,7947-14219,25.0,http://siskiyous.edu/
San Jose State University,943,1277,1111,20,25,22.5,7992,Public,March 1,3.5,79,6.0,1.0,5886-12047,17.0,http://sjsu.edu/
Starr King School for the Ministry,1029,1323,1161,19,25,21.0,12890,Public University,July 1,2.85,71,7.0,1.0,5580-8338,20.0,http://sksm.edu/
Skyline College,1114,1372,1237,23,27,26.5,1332,Private College,2025-04-08,3.41,90,6.5,1.0,7466-19109,39.0,http://skylinecollege.edu/
Santa Monica College,1095,1320,1224,20,29,23.5,1156,Private College,2025-12-09,3.45,81,6.0,1.0,6558-14129,30.0,http://smc.edu/
San Mateo County Community College,809,946,892,15,19,18.5,69000,Public Community College,June 1,2.66,56,6.0,1.0,1050-2446,10.0,http://smccd.edu/
Soka University of America,1220,1460,1360,17,29,25.0,37450,Public University,2025-07-08,3.43,75,6.0,1.0,4370-6925,17.0,http://soka.edu/
Solano Community College,787,1024,920,14,21,18.5,1172,Public Community College,Rolling,2.26,61,5.5,1.0,1514-2235,12.0,http://solano.edu/
Sonoma State University,1001,1167,1083,19,25,21.0,8190,Public University,January 15,3.19,79,6.5,1.0,4580-10442,20.0,http://sonoma.edu/
Stanford University,1510,1580,1553,20,25,22.5,62484,Public University,March 1,3.28,79,6.0,1.0,3184-9468,21.0,http://stanford.edu/
Saint Mary’s College,1046,1319,1194,24,32,26.0,56134,Private College,July 1,3.69,89,7.0,1.0,6227-10686,38.0,http://stmarys-ca.edu/
Saint Mary’s College,1046,1319,1194,24,32,26.0,56134,Private College,July 1,3.69,89,7.0,1.0,6227-10686,38.0,http://saintmarys.edu/
Taft College,1157,1403,1272,23,27,26.5,1108,Private College,February 1,3.32,76,7.0,1.0,5988-17764,25.0,http://taftcollege.edu/
Touro University California,1114,1265,1176,20,25,22.5,7600,Public University,2025-06-01,3.12,71,6.0,1.0,5330-10735,15.0,http://tu.edu/
University of California Davis,990,1175,1092,20,24,22.0,15247,Public,February 1,3.45,78,7.0,1.0,2674-6563,24.0,http://ucdavis.edu/
University of California Hastings College of the Law,1008,1297,1166,20,23,21.5,600000,Public,July 1,3.46,85,7.0,1.0,2806-6437,17.0,http://uchastings.edu/
University of California Irvine,938,1173,1050,19,25,21.0,14237,Public,January 15,2.94,71,6.5,1.0,2038-7942,18.0,http://uci.edu/
University of California Los Angeles,1120,1200,1159,21,24,23.5,6813,Public University,Rolling,2.89,70,6.0,1.0,4443-7025,18.0,http://ucla.edu/
University of California Los Angeles Extension,1029,1168,1082,20,28,24.0,12760,Public University,February 1,3.04,82,7.0,1.0,4364-7005,25.0,http://uclaextension.edu/
University of California Merced,1005,1253,1125,20,24,22.0,14167,Public,February 1,2.84,78,7.0,1.0,2793-5527,15.0,http://ucmerced.edu/
University of California,1106,1189,1156,19,23,20.0,8830,Public,January 15,3.19,85,6.5,1.0,2249-6914,17.0,http://ucop.edu/
University of California,1106,1189,1156,19,23,20.0,8830,Public,January 15,3.19,85,6.5,1.0,2249-6914,17.0,http://universityofcalifornia.edu/
University of California Press,1019,1260,1142,17,22,21.5,11480,Public,June 1,2.86,84,6.5,1.0,2843-9212,16.0,http://ucpress.edu/
University of California Riverside,1049,1185,1108,17,25,23.0,14170,Public,January 15,3.0,71,6.5,1.0,3471-9480,15.0,http://ucr.edu/
University of California Santa Barbara,1040,1334,1201,17,23,22.0,14965,Public,January 15,3.03,85,6.5,1.0,2007-8310,20.0,http://ucsb.edu/
University of California Santa Cruz,1092,1335,1222,19,27,22.0,14560,Public University,July 1,3.31,81,7.0,1.0,3483-8629,19.0,http://ucsc.edu/
University of California Santa Cruz Silicon Valley Extension,975,1305,1127,17,24,22.5,11760,Public University,February 1,3.18,70,7.0,1.0,2676-4729,23.0,http://ucsc-extension.edu/
University of California San Diego,1042,1307,1166,17,25,23.0,15265,Public,March 1,3.09,71,6.0,1.0,4739-6757,16.0,http://ucsd.edu/
University of California San Francisco,934,1333,1132,20,24,22.0,13240,Public University,Rolling,2.81,80,6.0,1.0,2329-7014,22.0,http://ucsf.edu/
University of California,1106,1189,1156,19,23,20.0,8830,Public,2025-07-01,3.19,85,6.5,1.0,2249-6914,17.0,http://ucop.edu/
University of California,1106,1189,1156,19,23,20.0,8830,Public,2025-07-01,3.19,85,6.5,1.0,2249-6914,17.0,http://universityofcalifornia.edu/
University of the Pacific,1160,1420,1303,23,28,27.5,55340,Private,2025-07-01,3.65,82,7.0,1.0,6508-17942,31.0,http://pacific.edu/
University of the Pacific,1160,1420,1303,23,28,27.5,55340,Private,2025-07-01,3.65,80,7.0,1.0,6508-17942,31.0,http://uop.edu/
University of Southern California,940,1293,1126,18,23,18.5,39950,Public University,2025-08-20,3.2,85,6.0,1.0,2499-7388,16.0,http://usc.edu/
University of San Francisco,1119,1229,1178,17,27,24.0,8390,Public University,2025-12-11,2.83,81,7.0,1.0,2603-9183,21.0,http://usfca.edu/
San Bernardino Valley College,1034,1335,1176,23,27,26.5,1185,Private College,Rolling,3.15,90,6.0,1.0,7320-15764,39.0,http://valleycollege.edu/
Ventura College,1176,1265,1238,24,27,24.5,1416,Private College,July 1,3.21,89,7.0,1.0,5569-15056,38.0,http://venturacollege.edu/
Victor Valley College,1030,1284,1175,23,26,25.5,1425,Private College,March 1,3.38,94,7.0,1.0,8971-14838,40.0,http://vvc.edu/
West Coast Baptist College,1134,1376,1269,23,26,25.5,30930,Private College,July 1,3.11,87,7.0,1.0,6865-17135,36.0,http://wcbc.edu/
Western University of Health Sciences,976,1174,1085,19,25,21.0,9540,Public University,March 1,2.86,71,6.0,1.0,4042-6735,22.0,http://westernu.edu/
Westmont College,1212,1418,1367,21,32,26.5,51790,Private College,2025-03-06,3.11,81,6.5,1.0,5471-15152,30.0,http://westmont.edu/
West Valley College,1030,1395,1200,24,31,25.5,1490,Private College,2025-12-08,3.55,76,6.0,1.0,6016-14856,25.0,http://westvalley.edu/
West Hills Community College District,959,1186,1062,15,19,18.5,7180,Public Community College,June 1,2.6,63,6.0,1.0,1623-2453,16.0,http://whccd.edu/
Whittier College,1031,1240,1140,24,32,26.0,49864,Private College,2025-10-15,3.5,80,6.5,1.0,5749-13141,32.0,http://whittier.edu/
West Los Angeles College,1149,1314,1238,20,28,23.0,1238,Private College,March 1,3.46,79,6.0,0.0,5563-10389,28.0,http://wlac.edu/
Yuba Community College District,952,1143,1034,18,24,21.0,6910,Public Community College,March 1,2.65,74,5.5,1.0,1342-2897,15.0,http://yccd.edu/
Yosemite Community College District,952,1203,1072,18,21,19.5,3870,Public Community College,Rolling,2.5,71,5.5,1.0,961-1566,12.0,http://yosemite.edu/
Unitek College,1042,1220,1150,20,30,24.0,28680,Private College,February 1,3.57,82,7.0,1.0,5333-15348,31.0,http://unitekcollege.edu/
Vanguard University,1114,1150,1140,18,23,18.5,39950,Public University,March 1,2.99,85,6.0,1.0,4615-6873,25.0,http://vanguard.edu/
Southwestern College,1104,1230,1161,22,29,26.5,1344,Private College,Rolling,3.38,76,6.0,1.0,7026-12791,25.0,http://swcc.edu/
Southwestern College,1104,1230,1161,22,29,26.5,1344,Private College,Rolling,3.38,76,6.0,1.0,7026-12791,25.0,http://swc.edu/
Monterey Institute of International Studies,1077,1157,1102,21,23,22.5,13770,Public University,2025-12-05,3.47,77,7.0,1.0,3209-6708,19.0,http://miis.edu/
Adams State University,1055,1185,1105,21,23,22.5,9776,Public University,January 15,3.42,77,6.5,1.0,3541-6766,17.0,http://adams.edu/
Auraria Higher Education Center,993,1276,1148,21,24,23.5,9480,Public University,February 1,3.29,70,7.0,1.0,5830-8543,23.0,http://ahec.edu/
Aims Community College,978,1211,1084,15,20,19.5,2090,Public Community College,July 1,2.52,70,6.5,1.0,985-2408,15.0,http://aims.edu/
Arapahoe Community College,942,1168,1064,16,20,16.5,4308,Public Community College,July 1,2.52,76,6.5,1.0,1517-2249,15.0,http://arapahoe.edu/
Community College of Aurora,826,960,873,14,24,20.0,4030,Public Community College,March 1,2.53,74,5.5,1.0,1537-2887,14.0,http://ccaurora.edu/
Community College of Denver,852,1015,952,15,23,21.0,4902,Public Community College,2025-12-09,2.7,67,6.5,1.0,1272-2876,15.0,http://ccd.edu/
Colorado Heights University,1083,1176,1116,20,29,24.5,12170,Public University,July 1,3.39,75,7.0,0.0,3244-8300,21.0,http://chu.edu/
University of Colorado Boulder,1230,1420,1353,21,23,22.5,16430,Public University,March 1,3.05,77,6.0,1.0,3291-9401,15.0,http://colorado.edu/
Colorado College,1023,1246,1146,24,28,24.5,43980,Private College,January 15,3.25,87,6.5,1.0,8730-15768,36.0,http://coloradocollege.edu/
Colorado Mesa University,930,1180,1070,20,28,24.0,9712,Public University,2025-01-20,3.35,82,6.5,1.0,4493-7055,25.0,http://coloradomesa.edu/
Colorado State University,1057,1166,1124,19,29,23.0,12896,Public University,March 1,2.84,75,6.0,0.0,4089-9248,16.0,http://colostate.edu/
Colorado State University-Pueblo,870,1100,1005,19,29,23.0,9401,Public University,July 1,2.89,83,7.0,1.0,2796-5758,17.0,http://colostate-pueblo.edu/
University of Denver,980,1220,1119,17,22,21.5,10017,Public University,2025-04-01,2.88,484,6.0,1.0,4052-9811,20.0,http://du.edu/
Fort Lewis College,980,1220,1084,20,27,22.5,9670,Private College,2025-11-15,3.42,61,5.5,1.0,6493-12641,29.0,http://fortlewis.edu/
Front Range Community College,836,1033,916,18,19,18.5,4740,Public Community College,June 1,2.36,69,6.0,1.0,1684-3448,14.0,http://frontrange.edu/
Jones International University,972,1298,1130,21,29,26.0,8470,Public University,July 1,3.5,83,7.0,0.0,2247-6469,15.0,http://jiu.edu/
Colorado School of Mines,1320,1470,1403,18,29,21.5,21186,Public University,July 1,3.08,75,7.0,1.0,2206-7655,17.0,http://mines.edu/
