University,Institution_Type,City,State,Location,US_News_Ranking_2025,Data_Quality,Acceptance_Rate_Pct,Bach_SAT_25th,Bach_SAT_75th,Bach_SAT_Midpoint,Bach_ACT_25th,Bach_ACT_75th,Bach_ACT_Midpoint,Bach_SAT_ACT_Policy,Bach_Avg_GPA_Admitted,Bach_TOEFL_Min,Bach_IELTS_Min,Bach_Tuition_InState_USD,Bach_Tuition_OutOfState_USD,Bach_Annual_Tuition_USD,Bach_Application_Deadline,Scholarship_Financial_Aid,Masters_Programs_Offered,Masters_Min_GPA_Recommended,Masters_GRE_Policy,Masters_Avg_GRE_Verbal,Masters_Avg_GRE_Quant,Masters_TOEFL_Min,Masters_IELTS_Min,Masters_Annual_Tuition_USD,Masters_Application_Deadline,Masters_LOR_Count,Masters_SOP_Required,TOEFL_IELTS_Source,Data_Source,Official_URL
Adelphi University,Private University (Nonprofit),Garden City,NY,"Garden City, NY",Unranked,Estimated (SAT-based),65.9,1120.0,1340.0,1230.0,24.0,30.0,27.0,Test-Optional,3.31,80.0,6.5,49100,49100,49100,November 1 (ED); January 15 (RD),Need-based aid; merit scholarships available,Yes,3.0,Optional for most programs,149.0,153.0,85.0,7.0,40000.0,December 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.adelphi.edu/
Adler University,Private University (Nonprofit),Chicago,IL,"Chicago, IL",Unranked,Estimated (type-based),66.2,1110.0,1230.0,1170.0,24.0,27.0,26.0,Test-Optional,3.24,80.0,6.5,35800,35800,35800,November 1 (ED); January 15 (RD),Merit scholarships and need-based aid available,Yes,2.75,Not required,153.0,155.0,85.0,7.0,30300.0,February 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.adler.edu/
Adrian College,Private University (Nonprofit),Adrian,MI,"Adrian, MI",Unranked,Estimated (SAT-based),72.5,870.0,1140.0,1010.0,21.0,27.0,24.0,Test-Optional,2.87,71.0,6.0,41700,41700,41700,January 1,Merit and need-based scholarships available,Yes,2.75,Not required,152.0,155.0,76.0,6.5,34100.0,February 1,2.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.adrian.edu/
Adult and Continuing Education-BCTS,Public University,Hackensack,NJ,"Hackensack, NJ",Unranked,Estimated (type-based),69.4,1060.0,1200.0,1130.0,23.0,26.0,24.0,Test-Optional,3.11,79.0,6.5,8800,20800,20800,Rolling admissions,Need-based aid; merit scholarships; in-state tuition benefit,No,0.0,Not applicable,0.0,0.0,84.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.bergen.org/site/Default.aspx?PageID=4343
AdventHealth University,Private University (Nonprofit),Orlando,FL,"Orlando, FL",Unranked,Estimated (type-based),63.9,1080.0,1240.0,1160.0,23.0,27.0,25.0,Test-Optional,3.19,80.0,6.5,21400,21400,21400,December 1 (ED); January 1 (RD),Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),153.0,156.0,85.0,7.0,17300.0,February 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.ahu.edu/
Agnes Scott College,Private University (Nonprofit),Decatur,GA,"Decatur, GA",Unranked,Estimated (SAT-based),62.2,1160.0,1330.0,1240.0,25.0,31.0,28.0,Test-Optional,3.36,80.0,6.5,50600,50600,50600,November 1 (ED); January 15 (RD),Need-based aid; merit scholarships available,Yes,3.0,Optional for most programs,149.0,153.0,85.0,7.0,41900.0,February 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.agnesscott.edu/
Aims Community College,Public University,Greeley,CO,"Greeley, CO",Unranked,Estimated (type-based),74.5,1080.0,1220.0,1140.0,23.0,27.0,25.0,Test-Optional,3.19,79.0,6.5,2300,11800,11800,March 1,State and federal aid; merit scholarships available,Yes,2.75,Not required,152.0,154.0,84.0,7.0,8500.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.aims.edu/
Alabama A & M University,Public University,Normal,AL,"Normal, AL",Unranked,Estimated (SAT-based),58.0,810.0,1040.0,920.0,14.0,19.0,16.0,Test-Optional,2.73,81.0,6.5,10000,18600,18600,Rolling admissions,Need-based aid; merit scholarships; in-state tuition benefit,Yes,2.75,Not required,154.0,156.0,84.0,6.5,12400.0,February 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.aamu.edu/
Alabama State University,Public University,Montgomery,AL,"Montgomery, AL",Unranked,Estimated (SAT-based),97.5,830.0,980.0,900.0,17.0,21.0,19.0,Test-Optional,2.59,72.0,6.0,11200,19600,19600,February 1,State and federal aid; merit scholarships available,Yes,2.75,Not required,148.0,150.0,76.0,6.0,12900.0,January 15,2.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.alasu.edu/
Alaska Bible College,Private University (Nonprofit),Palmer,AK,"Palmer, AK",Unranked,Estimated (type-based),67.7,1100.0,1250.0,1170.0,24.0,27.0,26.0,Test-Optional,3.25,80.0,6.5,9700,9700,9700,January 1,Need-based aid; merit scholarships available,Yes,2.75,Not required,153.0,155.0,85.0,7.0,8700.0,December 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.akbible.edu/
Alaska Career College,Public Community College,Anchorage,AK,"Anchorage, AK",Unranked,Estimated (type-based),86.5,855.0,960.0,907.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,5800,10300,10300,Rolling admissions,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.alaskacareercollege.edu/
Alaska Pacific University,Private University (Nonprofit),Anchorage,AK,"Anchorage, AK",Unranked,Estimated (type-based),96.5,1000.0,1160.0,1080.0,21.0,25.0,23.0,Test-Optional,3.1,80.0,6.5,20800,20800,20800,December 1 (ED); January 1 (RD),Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),149.0,151.0,85.0,7.0,19100.0,January 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.alaskapacific.edu/
Alaska Vocational Technical Center,Public University,Seward,AK,"Seward, AK",Unranked,Estimated (type-based),75.6,1060.0,1210.0,1140.0,23.0,26.0,24.0,Test-Optional,3.2,79.0,6.5,10500,22500,22500,February 1,FAFSA-based aid; merit awards available,No,0.0,Not applicable,0.0,0.0,84.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.avtec.edu/
Albany College of Pharmacy and Health Sciences,Private University (Nonprofit),Albany,NY,"Albany, NY",Unranked,Estimated (SAT-based),52.7,1110.0,1380.0,1240.0,23.0,31.0,27.0,Test-Optional,3.38,80.0,6.5,41500,41500,41500,January 15,Merit scholarships and need-based aid available,Yes,3.0,Optional for most programs,149.0,153.0,85.0,7.0,34800.0,January 15,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.acphs.edu/
Albany Law School,Private University (Nonprofit),Albany,NY,"Albany, NY",Unranked,Estimated (type-based),66.5,1100.0,1240.0,1170.0,24.0,27.0,26.0,Test-Optional,3.24,80.0,6.5,36000,36000,36000,January 1,Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),153.0,155.0,85.0,7.0,30600.0,December 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.albanylaw.edu/
Albany Medical College,Private University (Nonprofit),Albany,NY,"Albany, NY",Unranked,Estimated (type-based),67.2,1090.0,1240.0,1170.0,23.0,27.0,25.0,Test-Optional,3.25,80.0,6.5,36400,36400,36400,January 1,Merit and need-based scholarships available,Yes,2.75,Not required,153.0,155.0,85.0,7.0,31200.0,February 1,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.amc.edu/
Albany State University,Public University,Albany,GA,"Albany, GA",Unranked,Estimated (type-based),77.7,1060.0,1240.0,1150.0,23.0,27.0,25.0,Test-Optional,3.24,79.0,6.5,5700,17000,17000,January 15,Need-based aid; merit scholarships; in-state tuition benefit,Yes,2.75,Not required,151.0,153.0,84.0,7.0,13300.0,February 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.asurams.edu/
Albany Technical College,Public Community College,Albany,GA,"Albany, GA",Unranked,Estimated (type-based),84.6,840.0,980.0,910.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,3400,5900,5900,Rolling admissions,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.albanytech.edu/
Albertus Magnus College,Private University (Nonprofit),New Haven,CT,"New Haven, CT",Unranked,Estimated (type-based),59.3,1160.0,1300.0,1220.0,25.0,29.0,27.0,Test-Optional,3.4,80.0,6.5,41900,41900,41900,January 1,Institutional grants and scholarships; FAFSA required,Yes,3.0,Optional (varies by department),154.0,156.0,85.0,7.0,37600.0,January 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.albertus.edu/
Albion College,Private University (Nonprofit),Albion,MI,"Albion, MI",Unranked,Estimated (type-based),80.7,1060.0,1200.0,1140.0,23.0,26.0,24.0,Test-Optional,3.14,80.0,6.5,57000,57000,57000,February 1,Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),151.0,154.0,85.0,7.0,47200.0,December 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.albion.edu/
Albizu University-Miami,Private University (Nonprofit),Miami,FL,"Miami, FL",Unranked,Estimated (type-based),75.7,1070.0,1220.0,1150.0,23.0,27.0,25.0,Test-Optional,3.23,80.0,6.5,13800,13800,13800,February 1,Merit and need-based scholarships available,Yes,2.75,Not required,152.0,154.0,85.0,7.0,12600.0,January 1,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.albizu.edu/
Alcorn State University,Public University,Alcorn State,MS,"Alcorn State, MS",Unranked,Estimated (SAT-based),45.3,870.0,1010.0,940.0,18.0,21.0,20.0,Test-Optional,2.61,79.0,6.5,8800,8800,8800,March 1,FAFSA-based aid; merit awards available,Yes,2.75,Not required,156.0,158.0,89.0,7.0,7600.0,December 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.alcorn.edu/
Alexandria Technical & Community College,Public Community College,Alexandria,MN,"Alexandria, MN",Unranked,Estimated (type-based),86.3,850.0,970.0,910.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,6200,6200,6200,Rolling admissions,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.alextech.edu/
Alfred University,Private University (Nonprofit),Alfred,NY,"Alfred, NY",Unranked,Estimated (SAT-based),73.8,1100.0,1310.0,1200.0,24.0,29.0,26.0,Test-Optional,3.27,80.0,6.5,41500,41500,41500,November 1 (ED); January 15 (RD),Need-based aid; merit scholarships available,Yes,3.0,Optional for most programs,149.0,153.0,85.0,7.0,34000.0,February 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.alfred.edu/
Alice Lloyd College,Private University (Nonprofit),Pippa Passes,KY,"Pippa Passes, KY",Unranked,Estimated (SAT-based),75.2,880.0,1040.0,960.0,18.0,22.0,20.0,Test-Optional,2.51,74.0,6.0,14000,14000,14000,November 1 (ED); January 15 (RD),Merit scholarships and need-based aid available,Yes,2.75,Not required,152.0,154.0,82.0,6.5,10000.0,January 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.alc.edu/
Allan Hancock College,Public Community College,Santa Maria,CA,"Santa Maria, CA",Unranked,Estimated (type-based),87.0,830.0,975.0,902.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,1200,9900,9900,Rolling admissions,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.hancockcollege.edu/
Allegany College of Maryland,Public Community College,Cumberland,MD,"Cumberland, MD",Unranked,Estimated (type-based),84.4,835.0,975.0,905.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,4900,12600,12600,August 1,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.allegany.edu/
Allen College,Private University (Nonprofit),Waterloo,IA,"Waterloo, IA",Unranked,Estimated (type-based),70.3,1100.0,1240.0,1170.0,24.0,27.0,26.0,Test-Optional,3.28,80.0,6.5,37900,37900,37900,January 1,Merit and need-based scholarships available,Yes,2.75,Not required,153.0,155.0,85.0,7.0,33500.0,December 1,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.allencollege.edu/
Allen County Community College,Public Community College,Iola,KS,"Iola, KS",Unranked,Estimated (type-based),87.9,840.0,995.0,917.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,4300,4900,4900,Rolling admissions,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.allencc.edu/
Allen School-Brooklyn,Private University (For-Profit),Brooklyn,NY,"Brooklyn, NY",Unranked,Estimated (type-based),87.8,930.0,1035.0,982.0,19.0,22.0,20.0,Not required,2.61,80.0,6.5,19400,19400,19400,Rolling admissions,Title IV federal aid eligible,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.allenschool.edu/
Alliant International University-San Diego,Private University (For-Profit),San Diego,CA,"San Diego, CA",Unranked,Estimated (type-based),85.8,930.0,1070.0,1000.0,19.0,23.0,21.0,Not required,2.46,80.0,6.5,14300,14300,14300,Rolling admissions,Federal loans and grants; employer tuition assistance accepted,Yes,2.75,Not required,147.0,149.0,85.0,7.0,12700.0,Rolling admissions,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.alliant.edu/
Alma College,Private University (Nonprofit),Alma,MI,"Alma, MI",Unranked,Estimated (type-based),57.0,1140.0,1270.0,1200.0,25.0,28.0,26.0,Test-Optional,3.3,80.0,6.5,49600,49600,49600,February 1,Institutional grants and scholarships; FAFSA required,Yes,3.0,Optional (varies by department),154.0,157.0,85.0,7.0,42200.0,January 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.alma.edu/
Alpena Community College,Public University,Alpena,MI,"Alpena, MI",Unranked,Estimated (type-based),70.7,1040.0,1210.0,1130.0,22.0,26.0,24.0,Test-Optional,3.12,79.0,6.5,5200,8000,8000,Rolling admissions,Need-based aid; merit scholarships; in-state tuition benefit,Yes,2.75,Not required,152.0,154.0,84.0,7.0,5000.0,February 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.alpenacc.edu/
American Academy McAllister Institute of Funeral Service,Public Community College,New York,NY,"New York, NY",Unranked,Estimated (type-based),83.6,860.0,975.0,917.0,18.0,20.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,20000,20000,20000,Rolling admissions,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.funeraleducation.org/
American Academy of Dramatic Arts-Los Angeles,Public Community College,Los Angeles,CA,"Los Angeles, CA",Unranked,Estimated (type-based),82.8,845.0,995.0,920.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,40600,40600,40600,Rolling admissions,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.aada.edu/
American Academy of Dramatic Arts-New York,Public Community College,New York,NY,"New York, NY",Unranked,Estimated (type-based),92.0,840.0,990.0,915.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,40600,40600,40600,Rolling admissions,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.aada.edu/
American Beauty College,Private University (For-Profit),West Covina,CA,"West Covina, CA",Unranked,Estimated (type-based),86.6,965.0,1110.0,1037.0,20.0,24.0,22.0,Not required,2.62,80.0,6.5,18800,18800,18800,Rolling admissions,Federal loans and grants; employer tuition assistance accepted,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.americanbeautycollege.edu/
